title,content,image,recipes_category
Запеканка с Oreo и творожным кремом,"<h2>Энергетическая ценность на 100 г:</h2>
<ul>
    <li>Калории: 1800 ккал</li>
    <li>Белки: 50 г</li>
    <li>Жиры: 100 г</li>
    <li>Углеводы: 180 г</li>
</ul>

<h2>Ингредиенты:</h2>
<table>
    <thead>
        <tr>
            <th>Ингредиент</th>
            <th>Количество</th>
        </tr>
    </thead>
    <tbody>
        <tr>
            <td>Слоеное тесто (измельченное)</td>
            <td>100 г</td>
        </tr>
        <tr>
            <td>Печенье Oreo (крошка)</td>
            <td>½ упаковки</td>
        </tr>
        <tr>
            <td>Творожный сыр</td>
            <td>200 г</td>
        </tr>
        <tr>
            <td>Яйца</td>
            <td>2 шт.</td>
        </tr>
        <tr>
            <td>Молоко</td>
            <td>50 мл</td>
        </tr>
    </tbody>
</table>

<h2>Как готовить:</h2>
<ol>
    <li>
        <strong>Создание крема:</strong><br>
        Смешайте творожный сыр с яйцами, молоком, солью и перцем.
    </li>
    <li>
        <strong>Формирование запеканки:</strong><br>
        В форму выложите слой теста, крошки Oreo, залейте кремом.
    </li>
    <li>
        <strong>Настройка аэрогриля:</strong><br>
        Нажмите «Сырники/запеканка» (температура 180 °C, время 20 минут).
    </li>
    <li>
        <strong>Приготовление:</strong><br>
        Поставьте форму в чашу. За 5 минут до окончания посыпьте верх крошкой Oreo.
    </li>
    <li>
        <strong>Подача:</strong><br>
        Нарежьте порциями, полейте шоколадным соусом.
    </li>
</ol>

<h2>Примечание:</h2>
<ul>
    <li><strong>Замена ингредиентов:</strong>
        <ul>
            <li>Творожный сыр → сливочный сыр.</li>
            <li>Слоеное тесто → овсяные хлопья + мед.</li>
        </ul>
    </li>
</ul>",https://optim.tildacdn.com/tild6632-3932-4339-a565-303139396530/-/resize/800x600/-/format/webp/__Oreo___.webp,"G500, G550, MC550, Десерты"
Фриттата с сыром и овощами,"<h2>Энергетическая ценность на 100 г:</h2>
<ul>
    <li>Калории: 500 ккал</li>
    <li>Белки: 32 г</li>
    <li>Жиры: 35 г</li>
    <li>Углеводы: 18 г</li>
</ul>

<h2>Ингредиенты:</h2>
<table>
    <thead>
        <tr>
            <th>Ингредиент</th>
            <th>Количество</th>
        </tr>
    </thead>
    <tbody>
        <tr>
            <td>Яйца</td>
            <td>4 шт.</td>
        </tr>
        <tr>
            <td>Ветчина</td>
            <td>100 г</td>
        </tr>
        <tr>
            <td>Сладкий перец</td>
            <td>1 шт.</td>
        </tr>
        <tr>
            <td>Помидор</td>
            <td>1 шт.</td>
        </tr>
        <tr>
            <td>Лук репчатый</td>
            <td>1 шт.</td>
        </tr>
        <tr>
            <td>Тертый сыр</td>
            <td>50 г</td>
        </tr>
        <tr>
            <td>Сладкий молотый перец</td>
            <td>1/3 ч. л.</td>
        </tr>
        <tr>
            <td>Соль</td>
            <td>по вкусу</td>
        </tr>
    </tbody>
</table>

<h2>Как готовить:</h2>
<ol>
    <li><strong>Подготовка ингредиентов:</strong> Подготовьте овощи и ветчину по рецепту омлета.</li>
    <li><strong>Сборка фриттаты:</strong> В форму выложите половину яичной смеси, посыпьте тертым сыром, накройте оставшейся смесью.</li>
    <li><strong>Настройка аэрогриля:</strong> Выберите программу «Сырники/запеканка» (температура 180 °C, время 17 минут).</li>
    <li><strong>Приготовление:</strong> Запустите программу. За 2 минуты до окончания достаньте чашу и посыпьте верх зеленью.</li>
    <li><strong>Подача:</strong> Подавайте теплым с салатом.</li>
</ol>",https://optim.tildacdn.com/tild6338-3730-4932-b839-303638336564/-/resize/800x600/-/format/webp/____.jpg.webp,"G500, G550, MC550, Завтраки"
Омлет-ролл с ветчиной,"<h2>Энергетическая ценность на 100 г:</h2>
<ul>
    <li>Калории: 400 ккал</li>
    <li>Белки: 25 г</li>
    <li>Жиры: 28 г</li>
    <li>Углеводы: 12 г</li>
</ul>

<h2>Ингредиенты:</h2>
<table>
    <thead>
        <tr>
            <th>Ингредиент</th>
            <th>Количество</th>
        </tr>
    </thead>
    <tbody>
        <tr>
            <td>Яйца</td>
            <td>4 шт.</td>
        </tr>
        <tr>
            <td>Ветчина</td>
            <td>100 г</td>
        </tr>
        <tr>
            <td>Сладкий перец</td>
            <td>1 шт.</td>
        </tr>
        <tr>
            <td>Помидор</td>
            <td>1 шт.</td>
        </tr>
        <tr>
            <td>Лук репчатый</td>
            <td>1 шт.</td>
        </tr>
        <tr>
            <td>Сладкий молотый перец</td>
            <td>1/3 ч. л.</td>
        </tr>
        <tr>
            <td>Соль</td>
            <td>по вкусу</td>
        </tr>
    </tbody>
</table>

<h2>Как готовить:</h2>
<ol>
    <li><strong>Подготовка смеси:</strong> Приготовьте яичную смесь по рецепту омлета.</li>
    <li><strong>Формирование роллов:</strong> Выложите смесь в форму, застеленную пергаментом. Разровняйте. После приготовления (программа «Овощи», 15 мин) сверните в рулет.</li>
    <li><strong>Настройка аэрогриля:</strong> Нажмите кнопку «Ручной режим», установите температуру 160 °C и время 5 минут.</li>
    <li><strong>Приготовление:</strong> Поместите рулет в чашу. Запустите программу.</li>
    <li><strong>Подача:</strong> Подавайте нарезанным кружочками как перекус.</li>
</ol>

<h2>Примечание:</h2>
<ul>
    <li><strong>Замена ингредиентов:</strong>
        <ul>
            <li>Яйца → 6 белков.</li>
            <li>Ветчина → креветки.</li>
        </ul>
    </li>
</ul>",https://optim.tildacdn.com/tild3165-3562-4561-b266-366539386439/-/resize/800x600/-/format/webp/-__.jpg.webp,"G500, G550, MC550, Завтраки"
Творожная запеканка,"<h2>Энергетическая ценность на 100 г:</h2>
<ul>
    <li>Калории: 925 ккал</li>
    <li>Белки: 73 г</li>
    <li>Жиры: 45 г</li>
    <li>Углеводы: 70 г</li>
</ul>

<h2>Ингредиенты:</h2>
<table>
    <thead>
        <tr>
            <th>Ингредиент</th>
            <th>Количество</th>
        </tr>
    </thead>
    <tbody>
        <tr>
            <td>Яйца (куриные)</td>
            <td>2 шт.</td>
        </tr>
        <tr>
            <td>Ванильный сахар</td>
            <td>10 г</td>
        </tr>
        <tr>
            <td>Соль</td>
            <td>4 г</td>
        </tr>
        <tr>
            <td>Творог</td>
            <td>300 г</td>
        </tr>
        <tr>
            <td>Сметана</td>
            <td>150 г</td>
        </tr>
        <tr>
            <td>Рисовая мука</td>
            <td>60 г</td>
        </tr>
    </tbody>
</table>

<h2>Как готовить:</h2>
<ol>
    <li><strong>Подготовка яичной смеси:</strong> В миске взбейте яйца, ванильный сахар и соль до растворения сахара.</li>
    <li><strong>Создание творожной массы:</strong> Протрите творог через сито, смешайте со сметаной. Добавьте яичную смесь и рисовую муку, тщательно перемешайте до однородности.</li>
    <li><strong>Настройка аэрогриля:</strong> Вставьте чашу в корпус. Нажмите кнопку «Сырники/запеканка». При первом нажатии установится время 17 минут (минимальная корочка). Для более плотной текстуры нажмите кнопку повторно, чтобы выбрать 19 или 22 минуты.</li>
    <li><strong>Приготовление:</strong> Выложите творожную массу в чашу, разровняйте. Нажмите «Старт/Пауза» для запуска программы. По окончании достаньте запеканку и дайте ей остыть 5 минут.</li>
    <li><strong>Подача:</strong> Подавайте теплой с вареньем или ягодами.</li>
</ol>

<h2>Примечание:</h2>
<ul>
    <li><strong>Замена ингредиентов:</strong>
        <ul>
            <li>Рисовая мука → кукурузный крахмал.</li>
            <li>Сметана → сливки 10%.</li>
        </ul>
    </li>
</ul>",https://optim.tildacdn.com/tild3965-3762-4635-b165-613763633165/-/resize/800x600/-/format/webp/_.jpg.webp,"G500, G550, MC550, Завтраки"
Творожные котлетки,"<h2>Энергетическая ценность на 100 г:</h2>
<ul>
    <li>Калории: 800 ккал</li>
    <li>Белки: 60 г</li>
    <li>Жиры: 40 г</li>
    <li>Углеводы: 50 г</li>
</ul>

<h2>Ингредиенты:</h2>
<table>
    <thead>
        <tr>
            <th>Ингредиент</th>
            <th>Количество</th>
        </tr>
    </thead>
    <tbody>
        <tr>
            <td>Яйца (куриные)</td>
            <td>2 шт.</td>
        </tr>
        <tr>
            <td>Ванильный сахар</td>
            <td>10 г</td>
        </tr>
        <tr>
            <td>Соль</td>
            <td>4 г</td>
        </tr>
        <tr>
            <td>Творог</td>
            <td>300 г</td>
        </tr>
        <tr>
            <td>Сметана</td>
            <td>100 г</td>
        </tr>
        <tr>
            <td>Рисовая мука</td>
            <td>50 г</td>
        </tr>
    </tbody>
</table>

<h2>Как готовить:</h2>
<ol>
    <li><strong>Подготовка теста:</strong> Приготовьте творожную массу по рецепту запеканки. Сформируйте небольшие котлетки, обваляйте их в рисовой муке.</li>
    <li><strong>Настройка аэрогриля:</strong> Выберите программу «Котлеты» (температура 190 °C, время 18 минут). Для более хрустящей корочки нажмите кнопку повторно, чтобы выбрать 21 или 24 минуты.</li>
    <li><strong>Приготовление:</strong> Выложите котлетки в чашу, не перекрывая. Запустите программу. За 2 минуты до окончания достаньте чашу и переверните котлетки.</li>
    <li><strong>Подача:</strong> Подавайте с медом или фруктовым соусом.</li>
</ol>",https://optim.tildacdn.com/tild3239-3265-4231-a535-373731336333/-/resize/800x600/-/format/webp/_.jpg.webp,"G500, G550, MC550, Завтраки"
Ореховая гранола,"<h2>Энергетическая ценность на 100 г:</h2>
<ul>
    <li>Калории: 2280 ккал</li>
    <li>Белки: 41 г</li>
    <li>Жиры: 117 г</li>
    <li>Углеводы: 273 г</li>
</ul>

<h2>Ингредиенты:</h2>
<table>
    <thead>
        <tr>
            <th>Ингредиент</th>
            <th>Количество</th>
        </tr>
    </thead>
    <tbody>
        <tr>
            <td>Овсяные хлопья</td>
            <td>150 г</td>
        </tr>
        <tr>
            <td>Мёд</td>
            <td>175 г</td>
        </tr>
        <tr>
            <td>Грецкие орехи (измельчённые)</td>
            <td>50 г</td>
        </tr>
        <tr>
            <td>Лепестки миндаля</td>
            <td>30 г</td>
        </tr>
        <tr>
            <td>Тёртый кокос</td>
            <td>15 г</td>
        </tr>
        <tr>
            <td>Жареные тыквенные семечки</td>
            <td>30 г</td>
        </tr>
        <tr>
            <td>Бобы какао</td>
            <td>30 г</td>
        </tr>
        <tr>
            <td>Кокосовое масло</td>
            <td>2 ст. л.</td>
        </tr>
        <tr>
            <td>Соль</td>
            <td>1,5 ч. л.</td>
        </tr>
        <tr>
            <td>Молотый кардамон</td>
            <td>½ ч. л.</td>
        </tr>
    </tbody>
</table>

<h2>Как готовить:</h2>
<ol>
    <li><strong>Подготовка смеси:</strong> В большой миске смешайте овсяные хлопья, мёд, кокосовое масло, соль и кардамон до однородности. Добавьте грецкие орехи, миндальные лепестки, кокосовую стружку, тыквенные семечки и бобы какао. Перемешайте.</li>
    <li><strong>Настройка аэрогриля:</strong> Вставьте чашу в корпус. Нажмите кнопку «Выпечка». При первом нажатии установится температура 180 °C и время 17 минут. Нажмите кнопку «Ручной режим», затем кнопки ↑/↓, чтобы изменить температуру на 170 °C и время на 10 минут.</li>
    <li><strong>Приготовление:</strong> Выложите смесь в чашу тонким слоем. Нажмите «Старт/Пауза» для запуска программы. Через 5 минут достаньте чашу (функция «Умная пауза»), аккуратно перемешайте гранолу и верните в аэрогриль.</li>
    <li><strong>Подача:</strong> После окончания дайте граноле остыть в чаше 10–15 минут. Храните в герметичном контейнере. Подавайте с йогуртом или молоком.</li>
</ol>

<h2>Примечание:</h2>
<ul>
    <li><strong>Замена ингредиентов:</strong>
        <ul>
            <li>Мёд → кленовый сироп.</li>
            <li>Кокосовое масло → сливочное масло.</li>
            <li>Бобы какао → изюм или сухофрукты.</li>
        </ul>
    </li>
</ul>",https://optim.tildacdn.com/tild6531-3439-4863-a565-303336323066/-/resize/800x600/-/format/webp/_.jpg.webp,"G500, G550, MC550, Завтраки"
Гранола с корицей и изюмом,"<h2>Энергетическая ценность на 100 г:</h2>
<ul>
    <li>Калории: 2100 ккал</li>
    <li>Белки: 38 г</li>
    <li>Жиры: 110 г</li>
    <li>Углеводы: 250 г</li>
</ul>

<h2>Ингредиенты:</h2>
<table>
    <thead>
        <tr>
            <th>Ингредиент</th>
            <th>Количество</th>
        </tr>
    </thead>
    <tbody>
        <tr>
            <td>Овсяные хлопья</td>
            <td>150 г</td>
        </tr>
        <tr>
            <td>Мёд</td>
            <td>175 г</td>
        </tr>
        <tr>
            <td>Грецкие орехи (измельчённые)</td>
            <td>50 г</td>
        </tr>
        <tr>
            <td>Корица</td>
            <td>1 ч. л.</td>
        </tr>
        <tr>
            <td>Изюм</td>
            <td>50 г</td>
        </tr>
        <tr>
            <td>Кокосовое масло</td>
            <td>2 ст. л.</td>
        </tr>
        <tr>
            <td>Соль</td>
            <td>1,5 ч. л.</td>
        </tr>
    </tbody>
</table>

<h2>Как готовить:</h2>
<ol>
    <li><strong>Подготовка смеси:</strong> Смешайте овсяные хлопья, мёд, кокосовое масло, соль и корицу. Добавьте изюм и орехи.</li>
    <li><strong>Настройка аэрогриля:</strong> Выберите программу «Выпечка» (температура 170 °C, время 10 минут).</li>
    <li><strong>Приготовление:</strong> Выложите смесь в чашу, не утрамбовывая. Запустите программу. За 2 минуты до окончания достаньте чашу и разровняйте гранолу для равномерного пропекания.</li>
    <li><strong>Подача:</strong> Подавайте с молоком или кефиром.</li>
</ol>",https://optim.tildacdn.com/tild3832-3638-4266-b438-623166396633/-/resize/800x600/-/format/webp/____.jpg.webp,"G500, G550, MC550, Завтраки"
Гранола с кокосом и какао,"<h2>Энергетическая ценность на 100 г:</h2>
<ul>
    <li>Калории: 2300 ккал</li>
    <li>Белки: 42 г</li>
    <li>Жиры: 120 г</li>
    <li>Углеводы: 280 г</li>
</ul>

<h2>Ингредиенты:</h2>
<table>
    <thead>
        <tr>
            <th>Ингредиент</th>
            <th>Количество</th>
        </tr>
    </thead>
    <tbody>
        <tr>
            <td>Овсяные хлопья</td>
            <td>150 г</td>
        </tr>
        <tr>
            <td>Мёд</td>
            <td>175 г</td>
        </tr>
        <tr>
            <td>Кокосовая стружка</td>
            <td>50 г</td>
        </tr>
        <tr>
            <td>Какао порошок</td>
            <td>20 г</td>
        </tr>
        <tr>
            <td>Соль</td>
            <td>1,5 ч. л.</td>
        </tr>
        <tr>
            <td>Кокосовое масло</td>
            <td>2 ст. л.</td>
        </tr>
    </tbody>
</table>

<h2>Как готовить:</h2>
<ol>
    <li><strong>Создание смеси:</strong> Смешайте овсяные хлопья, мёд, кокосовое масло, соль и какао до однородности. Добавьте кокосовую стружку.</li>
    <li><strong>Настройка аэрогриля:</strong> Нажмите кнопку «Ручной режим», установите температуру 170 °C и время 10 минут.</li>
    <li><strong>Приготовление:</strong> Выложите смесь в чашу, разровняйте. Нажмите «Старт/Пауза». Через 5 минут достаньте чашу и аккуратно перемешайте.</li>
    <li><strong>Подача:</strong> Подавайте с фруктами или шоколадным соусом.</li>
</ol>

<h2>Примечание:</h2>
<ul>
    <li><strong>Замена ингредиентов:</strong>
        <ul>
            <li>Какао → ванильный сахар.</li>
            <li>Кокосовое масло → оливковое масло.</li>
        </ul>
    </li>
</ul>",https://optim.tildacdn.com/tild3865-6131-4161-b436-373464363466/-/resize/800x600/-/format/webp/____.jpg.webp,"G500, G550, MC550, Завтраки"
Тосты с джемом и сыром,"<h2>Энергетическая ценность на 100 г:</h2>
<ul>
    <li>Калории: 500 ккал</li>
    <li>Белки: 18 г</li>
    <li>Жиры: 30 г</li>
    <li>Углеводы: 40 г</li>
</ul>

<h2>Ингредиенты:</h2>
<table>
    <thead>
        <tr>
            <th>Ингредиент</th>
            <th>Количество</th>
        </tr>
    </thead>
    <tbody>
        <tr>
            <td>Хлеб (нарезанный)</td>
            <td>8 ломтиков</td>
        </tr>
        <tr>
            <td>Сыр бри/камамбер</td>
            <td>50 г</td>
        </tr>
        <tr>
            <td>Сливочное масло</td>
            <td>по вкусу</td>
        </tr>
        <tr>
            <td>Джем (вишневый/ягодный)</td>
            <td>по вкусу</td>
        </tr>
    </tbody>
</table>

<h2>Как готовить:</h2>
<ol>
    <li><strong>Подготовка ингредиентов:</strong> Смажьте ломтики хлеба сливочным маслом. На половину ломтиков нанесите джем, на другую — сыр. Соедините пары, образуя тосты.</li>
    <li><strong>Настройка аэрогриля:</strong> Выберите программу «Котлеты» (температура 190 °C, время 18 минут). Для более хрустящей корочки нажмите кнопку повторно, чтобы выбрать 21 или 24 минуты.</li>
    <li><strong>Приготовление:</strong> Выложите тосты в чашу, не перекрывая. Запустите программу. За 2 минуты до окончания достаньте чашу и переверните тосты.</li>
    <li><strong>Подача:</strong> Подавайте горячими как завтрак или перекус.</li>
</ol>",https://optim.tildacdn.com/tild6165-3638-4965-a336-366438663335/-/resize/800x600/-/format/webp/_____.jpg.webp,"G500, G550, MC550, Завтраки"
Мини-пирожные с джемом и сыром,"<h2>Энергетическая ценность на 100 г:</h2>
<ul>
    <li>Калории: 700 ккал</li>
    <li>Белки: 25 г</li>
    <li>Жиры: 40 г</li>
    <li>Углеводы: 60 г</li>
</ul>

<h2>Ингредиенты:</h2>
<table>
    <thead>
        <tr>
            <th>Ингредиент</th>
            <th>Количество</th>
        </tr>
    </thead>
    <tbody>
        <tr>
            <td>Хлеб (измельчённый)</td>
            <td>100 г</td>
        </tr>
        <tr>
            <td>Сыр бри/камамбер</td>
            <td>50 г</td>
        </tr>
        <tr>
            <td>Сливочное масло</td>
            <td>по вкусу</td>
        </tr>
        <tr>
            <td>Джем (вишневый/ягодный)</td>
            <td>по вкусу</td>
        </tr>
        <tr>
            <td>Яйцо</td>
            <td>1 шт.</td>
        </tr>
        <tr>
            <td>Молоко</td>
            <td>2 ст. л.</td>
        </tr>
    </tbody>
</table>

<h2>Как готовить:</h2>
<ol>
    <li><strong>Подготовка теста:</strong> Смешайте измельчённый хлеб, яйцо, молоко, сливочное масло до образования плотного теста. Добавьте джем и сыр, перемешайте.</li>
    <li><strong>Формирование пирожных:</strong> Сформируйте небольшие шарики, выложите в чашу.</li>
    <li><strong>Настройка аэрогриля:</strong> Нажмите кнопку «Выпечка» (температура 180 °C, время 17 минут). Для более плотной текстуры нажмите кнопку повторно, чтобы выбрать 20 или 23 минуты.</li>
    <li><strong>Приготовление:</strong> Запустите программу. Переверните пирожные через 8 минут.</li>
    <li><strong>Подача:</strong> Подавайте теплыми с йогуртом или дополнительным джемом.</li>
</ol>",https://optim.tildacdn.com/tild6165-3563-4233-b036-376235623963/-/resize/800x600/-/format/webp/-____.jpg.webp,"G500, G550, MC550, Завтраки"
